ChanID 	 PedRMS(pes) 	 DarkNoise Rate 
12027	0.102663	0.0236122
12028	0.113948	0.037339
12029	0.115715	0.0317926
12030	0.115703	0.0857289
12031	0.116672	0.0601739
12032	0.102966	0.0215062
12033	0.105057	0.0294719
12034	0.103501	0.0360742
12035	0.108294	0.0220491
12036	0.0959504	0.0230944
12037	0.0939391	0.0302747
12038	0.0957406	0.0318971
12040	0.102092	0.0439379
12041	0.105692	0.0619593
12042	0.103028	0.03293
12043	0.103207	0.0304159
12044	0.0956987	0.0292756
12045	0.0650725	0.0541846
12046	0.0956272	0.020903
12047	0.097949	0.0565534
12048	0.101616	0.0433683
12050	0.102996	0.0487269
12051	0.103396	0.0119175
12052	0.0980613	0.0470114
12053	0.0966391	0.0349065
12054	0.0979832	0.037027
12055	0.0971248	0.0348433
12056	0.100745	0.00991322
12057	0.102029	0.0215545
12058	0.103267	0.034932
12059	0.0985208	0.0117546
12060	0.104085	0.0559799
12061	0.101195	0.0435061
12062	0.100345	0.0478036
12063	0.100199	0.0604701
13000	0.0851642	0.0205131
13001	0.0855629	0.028631
13002	0.0844459	0.0205031
13003	0.0860855	0.0421489
13004	0.10975	0.0320105
13006	0.113262	0.0364158
13007	0.113016	0.0177734
13008	0.0785348	0.056034
13009	0.0851413	0.0355106
13010	0.0921867	0.143506
13011	0.0843194	0.020424
13012	0.109618	0.0338724
13013	0.114162	0.023609
13014	0.115296	0.060046
13015	0.112874	0.0228131
13016	0.0437801	0.0343719
13017	0.0980688	0.0268031
13018	0.0862661	0.0276147
13019	0.0855015	0.034556
13020	0.094793	0.0468161
13021	0.108865	0.0301581
13022	0.0911406	0.0304205
13023	0.0928093	0.0303309
13024	0.0837009	0.0386787
13025	0.0833731	0.0221349
13026	0.0848882	0.03039
13027	0.0877858	0.0288477
13028	0.0903482	0.0673007
13029	0.0925236	0.0357885
13030	0.0916866	0.0301765
13031	0.0465771	0.0692375
13032	0.0842675	0.0225086
13033	0.0848533	0.0198692
13034	0.0843195	0.0280096
13035	0.0871212	0.0399625
13036	0.0769907	0.0412619
13037	0.0756204	0.0294009
13038	0.0754891	0.034527
13039	0.0756438	0.0277118
13040	0.0600996	0.0342142
13041	0.0841989	0.0287772
13042	0.0810103	0.0288591
13043	0.0852478	0.0300845
13044	0.0755025	0.0250612
13046	0.0792014	0.0625683
13047	0.0751355	0.0326035
13048	0.0820004	0.0295561
13049	0.083171	0.0387571
13050	0.0806212	0.0549834
13051	0.0828032	0.0433126
13052	0.0776843	0.0236809
13053	0.0407562	0.0449596
13054	0.0787933	0.035248
13055	0.0795846	0.0452182
13056	0.0821505	0.0431111
13057	0.0993822	0.0270602
13058	0.0809003	0.0154158
13059	0.0817139	0.0239155
13060	0.0831388	0.0326578
13061	0.0794625	0.0411347
13062	0.0798131	0.0352763
13063	0.0856761	0.0222723
14000	0.0707094	0.0304142
14001	0.0936312	0.0352726
14002	0.0909997	0.0438828
14003	0.0931786	0.0236922
14004	0.11182	0.0076289
14005	0.111309	0.0332894
14006	0.111911	0.0259838
14007	0.113879	0.0471524
14008	0.0926888	0.0214747
14009	0.0920669	0.0243325
14011	0.0930137	0.0396649
14012	0.111265	0.0405279
14013	0.115714	0.0495321
14014	0.113861	0.0131716
14015	0.116999	0.0614908
14016	0.0925988	0.0163846
14017	0.0822635	0.0438761
14018	0.0935044	0.0396694
14019	0.0922192	0.0262149
14020	0.0983066	0.0183801
14021	0.0994622	0.0489504
14022	0.098252	0.0388266
14023	0.0987537	0.0268251
14024	0.0918854	0.0348318
14025	0.0694166	0.0416355
14029	0.0935711	0.017283
14030	0.0966023	0.019764
14032	0.0968807	0.0533766
14033	0.0451273	0.0284706
14034	0.095908	0.0366728
14035	0.102619	0.116709
14036	0.0877319	0.0291312
14037	0.0850553	0.0213689
14038	0.0874499	0.0358687
14040	0.0914569	0.0210094
14041	0.0930791	0.0431835
14042	0.0929047	0.0596387
14043	0.0918663	0.027359
14044	0.0857015	0.0283074
14045	0.086183	0.02295
14046	0.0856574	0.0206131
14047	0.085564	0.0329351
14049	0.0441419	0.0258088
14050	0.0440337	0.0349008
14051	0.0928929	0.0215942
14052	0.0907939	0.0271418
14053	0.0909052	0.0520247
14054	0.0427785	0.0293279
14055	0.0898969	0.0371087
14056	0.0916979	0.0414838
14057	0.0897847	0.0738636
14058	0.0906209	0.0172741
14059	0.0915519	0.0456906
14060	0.0919294	0.0167157
14061	0.0889042	0.0135062
14062	0.0893582	0.0392525
14063	0.0890846	0.0462057
15000	0.0883901	0.0279191
15001	0.0432981	0.0436865
15002	0.0884367	0.0416335
15003	0.0877265	0.027267
15004	0.0785005	0.0160196
15005	0.101801	0.00811799
15006	0.0995777	0.0204942
15007	0.105829	0.0332978
15009	0.0870908	0.0451118
15010	0.0882141	0.0245491
15011	0.0873086	0.0275588
15012	0.100422	0.045229
15013	0.100568	0.0265586
15014	0.102343	0.018748
15015	0.103505	0.00939979
15016	0.0888737	0.0424929
15017	0.0906994	0.0554473
15018	0.0888107	0.0150161
15019	0.0885572	0.0210028
15020	0.0918042	0.0258412
15021	0.09003	0.0191557
15022	0.0899056	0.0501716
15023	0.0895195	0.00525931
15024	0.08926	0.0452062
15025	0.0859643	0.0470165
15026	0.0896559	0.0427371
15027	0.0906253	0.0206149
15028	0.0887163	0.0234945
15029	0.0921478	0.0364694
15030	0.0901328	0.0288209
15031	0.0905857	0.0231495
15032	0.0886624	0.02418
15033	0.0889797	0.0293254
15034	0.0871146	0.0183738
15035	0.0883752	0.028176
15036	0.0837283	0.0149496
15037	0.0819553	0.0209775
15038	0.0840255	0.0284345
15039	0.0847573	0.0494862
15040	0.0873011	0.016556
15041	0.0881937	0.0411767
15042	0.0867427	0.0200712
15043	0.0890914	0.0286118
15044	0.0824967	0.0271583
15045	0.0836463	0.04217
15046	0.0828518	0.016421
15048	0.0878162	0.0422614
15049	0.0873699	0.0520868
15050	0.0863079	0.0357442
15051	0.0878535	0.0376184
15052	0.0647091	0.0552298
15053	0.0868644	0.0368739
15054	0.0858071	0.0345275
15055	0.0402217	0.0296611
15056	0.0845006	0.0111229
15057	0.0864039	0.00883983
15058	0.0634017	0.0236972
15059	0.0862986	0.0448822
15060	0.090228	0.0180658
15061	0.0867483	0.0322599
15062	0.0889873	0.0328986
15063	0.0861661	0.0459704
16000	0.0783469	0.0436906
16001	0.0785197	0.0406641
16002	0.076177	0.0249798
16003	0.0780992	0.0452086
16004	0.0899067	0.0184172
16005	0.0814084	0.0321656
16006	0.0928239	0.0135541
16007	0.0951057	0.0289525
16008	0.0764287	0.0267917
16009	0.0561678	0.0230459
16010	0.0773459	0.0244825
16011	0.076242	0.0308465
16012	0.0897966	0.041471
16013	0.0899705	0.0202119
16014	0.0934608	0.036427
16016	0.0578759	0.0414391
16017	0.076108	0.0239595
16018	0.0788906	0.0498629
16019	0.0775602	0.0210826
16020	0.0810825	0.0521683
16021	0.0824071	0.0447288
16022	0.0819494	0.0405108
16023	0.081515	0.0266769
16024	0.0757992	0.0181139
16025	0.0756863	0.0238929
16026	0.0566482	0.0382774
16027	0.0793015	0.0544843
16028	0.0782146	0.0217807
16029	0.0789256	0.018477
16030	0.0794921	0.0213636
16031	0.079785	0.0594431
16032	0.078602	0.0216324
16033	0.0581261	0.0215512
16034	0.0592032	0.0276923
16036	0.0755957	0.0427389
16037	0.0740256	0.0338247
16038	0.0746252	0.0218953
16039	0.0752079	0.0280383
16040	0.0784898	0.042076
16041	0.0392095	0.0655398
